feature,importance
Left_Ay_p_001,0.06125445964377569
Left_Ax_p_002,0.0595155515442702
Left_Ax_p_003,0.04526449833405414
Right_Ay_p_001,0.044673704196707714
Right_Gy_p_001,0.044184269023415684
Left_Gz_p_002,0.03787763962560273
Right_Gx_p_001,0.03726345449179281
Right_Gx_p_005,0.034787466430332065
Left_Ax_p_001,0.03436594893248175
Right_Gx_p_004,0.0331878689394474
Left_Gz_p_001,0.0315968641786256
Left_Az_p_003,0.029010507534553576
Left_Gx_p_001,0.024415238907272107
Left_Ax_p_004,0.023267157255715255
Left_Gz_p_005,0.022628303656532314
Left_Gz_p_003,0.0212884079139547
Right_Gz_p_001,0.020842248517499405
Left_Gy_p_001,0.02017371297303807
Left_Ay_p_003,0.01828132605275407
Right_Gx_p_003,0.018224921352378853
Left_Ay_p_002,0.017573191401494836
Left_Az_p_004,0.015580666029568724
Right_Gy_p_000,0.015317872144417943
Left_Az_p_002,0.014491636923358293
Left_Gz_p_004,0.01377188041512901
Left_Az_p_005,0.013466416804171813
Left_Ax_p_005,0.013389277817067008
Right_Gy_p_004,0.013134877262948317
Right_Gz_p_004,0.011662115771052813
Right_Az_p_004,0.011294167761683526
Right_Gx_p_000,0.010898089169843255
Right_Gx_p_002,0.010229219204199594
Left_Gy_p_002,0.009157836355084605
Left_Ay_p_004,0.008447642671626055
Right_Ay_p_002,0.008087723905246855
Left_Gx_p_005,0.007539450319693985
Right_Gy_p_005,0.007479315339770355
Right_Az_p_003,0.007082382201935502
Right_Gz_p_005,0.006950339507519254
Left_Gx_p_003,0.00660095947010416
Left_Gy_p_005,0.005993205183624493
Right_Gy_p_002,0.0059191718038951215
Right_Gy_p_003,0.00560698720273765
Right_Ax_p_001,0.005512051407634634
Left_Gx_p_002,0.005421811212324212
Left_Gy_p_003,0.005413718179282658
Left_Gx_p_004,0.005393601012088823
Right_Az_p_005,0.004923203620524786
Left_Gx_p_000,0.004909977917115673
Left_Gy_p_004,0.004658301434922094
Right_Gz_p_002,0.004464927386273983
Left_Ay_p_000,0.00434451402515882
Right_Ay_p_004,0.004207615191924246
Right_Az_p_001,0.004119576231179996
Right_Ax_p_002,0.003953294987306114
Right_Ax_p_000,0.003639819168446611
Left_Gy_p_000,0.0034816498380358615
Left_Gz_p_000,0.0034782877977934993
Left_Az_p_001,0.003437866225872743
Right_Ax_p_003,0.0034174505968530616
Right_Gz_p_000,0.003259115910487176
Right_Gz_p_003,0.0030204321747310816
Right_Ax_p_005,0.0029211610749890742
Right_Ax_p_004,0.0024618427465463743
Right_Ay_p_005,0.0020760776971628534
Left_Ay_p_005,0.0020199210099175837
Right_Az_p_002,0.0016827170569764423
Right_Ay_p_003,0.0016216703617153178
Right_Az_p_000,0.0014686609878725243
Left_Az_p_000,0.0010270496144351227
Left_Ax_p_000,0.0009808108731620636
Right_Ay_p_000,0.0009049000888893235
