scope,threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
same_patient,0.01,356,0.4943820224719101,0.021739130434782608,1.0,0.0425531914893617,172,180,0,4
same_patient,0.02,356,0.5786516853932584,0.025974025974025976,1.0,0.05063291139240506,202,150,0,4
same_patient,0.03,356,0.6067415730337079,0.027777777777777776,1.0,0.05405405405405406,212,140,0,4
same_patient,0.04,356,0.6292134831460674,0.029411764705882353,1.0,0.05714285714285714,220,132,0,4
same_patient,0.05,356,0.6320224719101124,0.02962962962962963,1.0,0.05755395683453238,221,131,0,4
same_patient,0.06,356,0.6460674157303371,0.03076923076923077,1.0,0.05970149253731343,226,126,0,4
same_patient,0.07,356,0.6573033707865169,0.031746031746031744,1.0,0.06153846153846154,230,122,0,4
same_patient,0.08,356,0.6629213483146067,0.03225806451612903,1.0,0.0625,232,120,0,4
same_patient,0.09,356,0.6769662921348315,0.03361344537815126,1.0,0.06504065040650407,237,115,0,4
same_patient,0.1,356,0.6797752808988764,0.03389830508474576,1.0,0.06557377049180328,238,114,0,4
same_patient,0.11,356,0.6882022471910112,0.034782608695652174,1.0,0.06722689075630252,241,111,0,4
same_patient,0.12,356,0.6966292134831461,0.03571428571428571,1.0,0.06896551724137931,244,108,0,4
same_patient,0.13,356,0.699438202247191,0.036036036036036036,1.0,0.06956521739130435,245,107,0,4
same_patient,0.14,356,0.702247191011236,0.03636363636363636,1.0,0.07017543859649122,246,106,0,4
same_patient,0.15,356,0.7078651685393258,0.037037037037037035,1.0,0.07142857142857142,248,104,0,4
same_patient,0.16,356,0.7106741573033708,0.037383177570093455,1.0,0.07207207207207207,249,103,0,4
same_patient,0.17,356,0.7134831460674157,0.03773584905660377,1.0,0.07272727272727272,250,102,0,4
same_patient,0.18,356,0.7134831460674157,0.03773584905660377,1.0,0.07272727272727272,250,102,0,4
same_patient,0.19,356,0.7162921348314607,0.0380952380952381,1.0,0.07339449541284404,251,101,0,4
same_patient,0.2,356,0.7191011235955056,0.038461538461538464,1.0,0.07407407407407407,252,100,0,4
same_patient,0.21,356,0.7191011235955056,0.038461538461538464,1.0,0.07407407407407407,252,100,0,4
same_patient,0.22,356,0.7275280898876404,0.039603960396039604,1.0,0.0761904761904762,255,97,0,4
same_patient,0.23,356,0.7303370786516854,0.04,1.0,0.07692307692307693,256,96,0,4
same_patient,0.24,356,0.7359550561797753,0.04081632653061224,1.0,0.0784313725490196,258,94,0,4
same_patient,0.25,356,0.7387640449438202,0.041237113402061855,1.0,0.07920792079207921,259,93,0,4
