model,fold,cv,sample_weighting,train_rows,test_rows,train_groups,test_groups,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,balanced_grouped,patient_source,13394,9493,18,6,5007,4486,0.6438428315600969,0.6515775034293553,0.5294248773963441,0.5841839872094453,0.6452996956271264,0.6378899901261729,0.6363573091275232
random_forest,2,balanced_grouped,patient_source,16130,6757,16,8,3872,2885,0.846677519609294,0.7634653747506412,0.9285961871750433,0.8379730997810447,0.8500208647152221,0.857118341521406,0.8462337409017584
random_forest,3,balanced_grouped,patient_source,16250,6637,14,10,4206,2431,0.8208527949374718,0.7508077544426495,0.7647058823529411,0.757693091501936,0.8066703996918847,0.8090053425079018,0.807793599653203
xgboost,1,balanced_grouped,patient_source,13394,9493,18,6,5007,4486,0.6415253344569682,0.6499584602603157,0.5231832367365136,0.5797208842781277,0.6431533205755846,0.6353683309706135,0.6336018325330395
xgboost,2,balanced_grouped,patient_source,16130,6757,16,8,3872,2885,0.8460855409205269,0.7618506954300313,0.9303292894280762,0.8377028714107366,0.8498492809246632,0.8568227025652778,0.8456738393079577
xgboost,3,balanced_grouped,patient_source,16250,6637,14,10,4206,2431,0.804881723670333,0.7154779969650986,0.7758124228712464,0.7444247089007302,0.789631025475801,0.7987478662145104,0.7933162901150417
catboost,1,balanced_grouped,patient_source,13394,9493,18,6,5007,4486,0.6433161276730223,0.6485683414370611,0.5352206865804726,0.5864680019540791,0.6442634489088259,0.6376922286507316,0.6364457068484972
catboost,2,balanced_grouped,patient_source,16130,6757,16,8,3872,2885,0.8499334023975137,0.7667522098659824,0.9320623916811092,0.8413642052565707,0.853222258779145,0.8604010305512984,0.8494942340520427
catboost,3,balanced_grouped,patient_source,16250,6637,14,10,4206,2431,0.809703179147205,0.7251349267540478,0.7737556561085973,0.7486567164179104,0.7945486654546889,0.8021179611974275,0.797773624301815
