scope,threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
new_patient,0.7,424,0.6509433962264151,0.0,0.0,0.0,276,148,0,0
new_patient,0.71,424,0.6533018867924528,0.0,0.0,0.0,277,147,0,0
new_patient,0.72,424,0.6556603773584906,0.0,0.0,0.0,278,146,0,0
new_patient,0.73,424,0.6627358490566038,0.0,0.0,0.0,281,143,0,0
new_patient,0.74,424,0.6650943396226415,0.0,0.0,0.0,282,142,0,0
new_patient,0.75,424,0.6674528301886793,0.0,0.0,0.0,283,141,0,0
new_patient,0.76,424,0.6721698113207547,0.0,0.0,0.0,285,139,0,0
new_patient,0.77,424,0.6792452830188679,0.0,0.0,0.0,288,136,0,0
new_patient,0.78,424,0.6863207547169812,0.0,0.0,0.0,291,133,0,0
new_patient,0.79,424,0.6933962264150944,0.0,0.0,0.0,294,130,0,0
new_patient,0.8,424,0.6981132075471698,0.0,0.0,0.0,296,128,0,0
new_patient,0.81,424,0.7075471698113207,0.0,0.0,0.0,300,124,0,0
new_patient,0.82,424,0.7075471698113207,0.0,0.0,0.0,300,124,0,0
new_patient,0.83,424,0.7122641509433962,0.0,0.0,0.0,302,122,0,0
new_patient,0.84,424,0.7193396226415094,0.0,0.0,0.0,305,119,0,0
new_patient,0.85,424,0.7193396226415094,0.0,0.0,0.0,305,119,0,0
new_patient,0.86,424,0.7264150943396226,0.0,0.0,0.0,308,116,0,0
new_patient,0.87,424,0.7405660377358491,0.0,0.0,0.0,314,110,0,0
new_patient,0.88,424,0.7476415094339622,0.0,0.0,0.0,317,107,0,0
new_patient,0.89,424,0.75,0.0,0.0,0.0,318,106,0,0
new_patient,0.9,424,0.7688679245283019,0.0,0.0,0.0,326,98,0,0
new_patient,0.91,424,0.7735849056603774,0.0,0.0,0.0,328,96,0,0
new_patient,0.92,424,0.785377358490566,0.0,0.0,0.0,333,91,0,0
new_patient,0.93,424,0.7924528301886793,0.0,0.0,0.0,336,88,0,0
new_patient,0.94,424,0.8160377358490566,0.0,0.0,0.0,346,78,0,0
new_patient,0.95,424,0.8443396226415094,0.0,0.0,0.0,358,66,0,0
new_patient,0.96,424,0.8655660377358491,0.0,0.0,0.0,367,57,0,0
new_patient,0.97,424,0.9056603773584906,0.0,0.0,0.0,384,40,0,0
new_patient,0.98,424,0.9622641509433962,0.0,0.0,0.0,408,16,0,0
new_patient,0.99,424,0.9929245283018868,0.0,0.0,0.0,421,3,0,0
