model,folds,test_rows_total,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,3,1293,0.5536632196782391,0.18110962160006688,0.3814814814814815,0.54049969259517,0.10304276749459473,0.17261749387215566,0.06966741177267492,0.10917373908347001,0.5521426080779335,0.11709039705847876,0.44158487026369314,0.0680639018010583,0.3811328711168917,0.08956008071034705
xgboost,3,1293,0.6026537930764307,0.20141830040973252,0.3775100401606426,0.5431494921145946,0.04339151681344373,0.07320131623198825,0.044900800556909155,0.0738864476306673,0.5520238058555009,0.11672417578060176,0.4483950419992433,0.06709094551112808,0.39033908906570014,0.10384460526983072
catboost,3,1293,0.6292844762349663,0.2223558462634012,0.34761904761904766,0.4836792100465892,0.05331434899541212,0.07536317892864892,0.06036259293074214,0.072776302785788,0.5379887759771985,0.08689513287204476,0.46401486747745047,0.05197863272865105,0.4058855287173853,0.09937003064899069
