model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,0.8202846975088969,0.008579760463516875,0.8799691759365044,0.02206755506421354,0.7518840579710145,0.020893705844568233,0.8105875730950644,0.009318586805594678,0.8272888771841811,0.010013270851282079,0.8219043847839286,0.00869607689502052,0.8197619705282957,0.008570540872288623
xgboost,0.8377817319098457,0.0018520160137598942,0.88448800393004,0.017514942308461245,0.7860869565217392,0.01975272468104442,0.8321133194722977,0.0036193118951986726,0.8420032136253633,0.0036028004187758666,0.8390058340592909,0.002018821889359924,0.8375536528427924,0.001826156733050173
catboost,0.838967971530249,0.0026690391459074925,0.888407814360774,0.019913951391819177,0.7843478260869565,0.018405226511753626,0.8328516562975711,0.002157579976075536,0.8436771919613162,0.005314945772298052,0.8402613447374674,0.0030749584670460256,0.8387078841674853,0.002515492869527756
