feature,importance
Left_Ay_p_004,0.0700377021620496
Right_Az_p_003,0.050733838060311565
Right_Az_p_004,0.043582778395620685
Right_Gz_p_000,0.042680908175399795
Right_Ay_p_003,0.039849052804345524
Right_Ay_p_004,0.03929998816814234
Right_Ay_p_002,0.030573383682846185
Left_Ay_p_003,0.030130824925491375
Right_Az_p_005,0.028320081981665943
Right_Ay_p_005,0.02816869836262878
Left_Az_p_004,0.028110376992376295
Right_Gz_p_002,0.024535175616746237
Left_Ay_p_002,0.02360990952410595
Right_Gz_p_003,0.022274123620612703
Left_Az_p_003,0.022053955111696576
Left_Ay_p_005,0.02182034973629842
Left_Az_p_005,0.02174448153967116
Right_Gz_p_001,0.019627901027960085
Right_Ax_p_001,0.019626612217107223
Right_Ay_p_001,0.018430339477140373
Right_Az_p_001,0.016815275557762705
Left_Gy_p_005,0.016305783295320817
Right_Ax_p_003,0.015506243832305318
Left_Ay_p_001,0.014030158154790345
Right_Ax_p_000,0.012894620513730614
Right_Ax_p_002,0.012578001314695175
Left_Gz_p_001,0.011726373311391664
Left_Gy_p_004,0.011205174081088776
Right_Gz_p_005,0.010553846546700012
Right_Gz_p_004,0.010385819910121287
Right_Gy_p_001,0.009850872985518611
Right_Az_p_002,0.009670703254001108
Left_Az_p_000,0.009620874255480453
Right_Gy_p_000,0.009322038312405263
Left_Gx_p_003,0.009065486596333473
Right_Ay_p_000,0.008769273941545537
Right_Ax_p_005,0.008725807029972672
Left_Gy_p_003,0.008056330453061672
Left_Gx_p_005,0.007532970053407012
Left_Gz_p_005,0.007289605228764689
Left_Gy_p_001,0.007233104020178024
Right_Gx_p_002,0.0071379028120956995
Right_Az_p_000,0.007096395798725877
Left_Gz_p_004,0.006923174343145639
Left_Gx_p_004,0.006374337785273986
Right_Gy_p_003,0.006264625894348031
Right_Gx_p_001,0.006251696843344865
Left_Gy_p_002,0.006224650078107539
Left_Az_p_002,0.005938834128263364
Left_Ax_p_001,0.005870161955779077
Right_Ax_p_004,0.00578789375159386
Left_Ay_p_000,0.005628015448143803
Left_Gz_p_000,0.005321872988469511
Right_Gx_p_005,0.0052069850542159615
Right_Gy_p_005,0.004766199749829514
Right_Gy_p_004,0.004719900171366032
Left_Gx_p_002,0.004647381505075294
Left_Gz_p_002,0.00461155124715201
Right_Gx_p_000,0.004492889989123651
Left_Az_p_001,0.004161844087702996
Left_Ax_p_004,0.0040861726552303725
Left_Gx_p_001,0.004051698369493381
Right_Gy_p_002,0.003969538256419575
Right_Gx_p_003,0.0037301086678104916
Left_Ax_p_005,0.0036963378582355114
Left_Ax_p_003,0.003586337126214626
Left_Ax_p_002,0.0035755858746365334
Left_Gy_p_000,0.0034823221098964794
Left_Ax_p_000,0.003053828834002584
Left_Gz_p_003,0.002899902741177096
Right_Gx_p_004,0.00236153064939942
Left_Gx_p_000,0.001731478994935161
