model,fold,cv,sample_weighting,train_rows,test_rows,train_groups,test_groups,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,balanced_grouped,patient_source,15262,6162,11,8,4128,2034,0.6609866926322623,0.4898636196092886,0.6533923303834809,0.5599325890035812,0.6427282725474683,0.6590605062770117,0.6421149021301396
random_forest,2,balanced_grouped,patient_source,15122,6302,12,7,3864,2438,0.7042208822596001,0.5813492063492064,0.8412633305988515,0.6875628561850486,0.7209197365560018,0.7295084768936286,0.7033776920274445
random_forest,3,balanced_grouped,patient_source,12464,8960,15,4,4357,4603,0.5828125,0.6214546475709071,0.4807734086465349,0.5421362077413033,0.589390039103105,0.5856931078119064,0.5794936881264943
xgboost,1,balanced_grouped,patient_source,15262,6162,11,8,4128,2034,0.667964946445959,0.4977477477477477,0.6519174041297935,0.5644955300127714,0.6476731877675275,0.6638947485765246,0.6481014235429711
xgboost,2,balanced_grouped,patient_source,15122,6302,12,7,3864,2438,0.6999365280863218,0.5786597641645096,0.8252666119770303,0.6803043110735418,0.7139316519937593,0.723062912613774,0.6988006829698701
xgboost,3,balanced_grouped,patient_source,12464,8960,15,4,4357,4603,0.578125,0.6199358787525503,0.4620899413426027,0.5294996265870052,0.5860576481843779,0.5814007200401331,0.5735703676127419
catboost,1,balanced_grouped,patient_source,15262,6162,11,8,4128,2034,0.6653683868873742,0.4945945945945946,0.6297935103244838,0.5540657439446367,0.6418941617989771,0.6563453985730947,0.6431367680762144
catboost,2,balanced_grouped,patient_source,15122,6302,12,7,3864,2438,0.7040622024754046,0.5825886422600173,0.8289581624282198,0.6842728965633994,0.7176974273778025,0.7271084808000312,0.7028949968855522
catboost,3,balanced_grouped,patient_source,12464,8960,15,4,4357,4603,0.5783482142857143,0.6171542175518319,0.4720834238540082,0.5349581486952241,0.5851904568178354,0.581348115415643,0.5746452646293596
