scenario,model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
corrected,catboost,0.714455521206665,0.0859145184997316,0.6642458455617178,0.0612540866629195,0.7142221268683883,0.2102396475637561,0.677966726681316,0.1072975040504312,0.7207143663548705,0.0892622441377072,0.7204232255370382,0.0948188360200613,0.7101296928818934,0.0883699885307252
corrected,random_forest,0.7145740310701975,0.0850350633559672,0.6597435409081869,0.0535157327161649,0.728127150910893,0.2214547424022604,0.6811782902953111,0.1096117610591483,0.7229478208211751,0.0908048390704755,0.7226274008700785,0.096250694224009,0.7107013435977358,0.0880313703848486
corrected,xgboost,0.7163832003548317,0.0872045275021166,0.6639688106946032,0.0633345869405707,0.7254929513254672,0.2160651886219334,0.6825182637692931,0.1092334451704747,0.7242156425659642,0.0915576702157202,0.7237084327620785,0.0966156049219288,0.7124203623830079,0.0896941491938881
corrected_no_transition,catboost,0.7274300203801317,0.0985277201420292,0.6847440012403547,0.0904757157909552,0.7109760938157786,0.2040247436033156,0.6872107310666201,0.110206877496333,0.7328239118185248,0.1009522525271066,0.7303961192219882,0.1031416819836732,0.7220283793971424,0.0985114746334632
corrected_no_transition,random_forest,0.7269671824453173,0.0967247425040958,0.6788934348623713,0.0785614781045142,0.721275312538622,0.2164105666633828,0.6884774687108494,0.1130188283252069,0.7333966041825989,0.099949508684487,0.7318984979030972,0.1039181551393995,0.7219287767141472,0.0977299422300705
corrected_no_transition,xgboost,0.7253872687423245,0.098316953443657,0.6798378283604495,0.0885621331073125,0.7152951846040785,0.2063371430845631,0.6866213604667045,0.1111194814462273,0.7312405352840935,0.1006514795075688,0.729397257946018,0.1032415470779096,0.7203052241243272,0.0985840204236806
original,catboost,0.6492596012161643,0.0643865004367385,0.5647791514688146,0.0631909706092293,0.643611698868904,0.1788381992447078,0.5910989297344201,0.0812546375294336,0.648260681998205,0.0664825070701337,0.654933998262923,0.0728904319329653,0.6402256765303754,0.0641744053064573
original,random_forest,0.6493400249639542,0.0615364320671527,0.5642224911764674,0.0674465932383168,0.6584763565429558,0.1802987283615431,0.5965438843099777,0.0793253914418599,0.651012682735525,0.0661550369747884,0.658087363660849,0.0719126230292119,0.6416620940946928,0.0619432432309641
original,xgboost,0.6486754915107603,0.0631551612891138,0.5654477968882693,0.062156269990187,0.6464246524831422,0.1816506296817209,0.5914331558911061,0.0789287018881079,0.6492208293152215,0.0639510485319086,0.656119460410144,0.0711504429413164,0.6401574913751944,0.0629919638908497
