offset_seconds,rows,evaluated_rows,folds,groups,not_walking,walking,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
-10.0,3086,3086,42,42,1535,1551,0.6843810758263124,0.6500260010400416,0.8059316569954867,0.7196315486470927,0.6793116972294025,0.43843648208469055,0.19406834300451323,1250,862,673,301
-5.0,3176,3176,40,40,1558,1618,0.7207178841309824,0.6860050890585242,0.8331273176761433,0.7524420876360591,0.7160549188631722,0.39602053915276,0.1668726823238566,1348,941,617,270
-2.0,3258,3258,44,44,1591,1667,0.7777777777777778,0.7552788305360043,0.8368326334733054,0.7939669891861126,0.7763972187769337,0.284098051539912,0.16316736652669467,1395,1139,452,272
0.0,3298,3298,40,40,1610,1688,0.7395391146149182,0.7040866568193008,0.8471563981042654,0.7690239311642915,0.7352245133749855,0.3732919254658385,0.1528436018957346,1430,1009,601,258
2.0,3259,3259,44,44,1590,1669,0.7852101871739797,0.7631721890277023,0.8418214499700419,0.8005698005698005,0.7839285173061769,0.2742138364779874,0.15817855002995806,1405,1154,436,264
5.0,3178,3178,40,40,1552,1626,0.7284455632473253,0.6967509025270758,0.8308733087330873,0.7579242636746143,0.7243580472798008,0.3788659793814433,0.16912669126691268,1351,964,588,275
10.0,3086,3086,42,42,1524,1562,0.6817887232663642,0.6469098277608916,0.8175416133162612,0.7222850678733032,0.6748754626164695,0.4573490813648294,0.1824583866837388,1277,827,697,285
