model,folds,test_rows_total,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,7,6744,0.6190442902111114,0.2008379596784824,0.5401768105132905,0.4250030987278973,0.48235843008484924,0.33448676526359417,0.40184940908587824,0.3317529180965123,0.6312824133665005,0.12779911372225977,0.6100145422064609,0.20106059906524976,0.531500309354868,0.20586319844310105
xgboost,7,6744,0.6243707190352568,0.19790625103875334,0.4648708782054724,0.3890574455655402,0.46782579216866577,0.3355339923342695,0.3902345340182058,0.331864459771252,0.5950353048891934,0.13667039404943632,0.6128811534566445,0.19540510274028702,0.5296508775083912,0.19530189700689962
catboost,7,6744,0.650373902552418,0.20718446175909117,0.5104824841522254,0.40508135961230335,0.48644972044159024,0.36078524660014283,0.4095361928373719,0.355447014859077,0.6282161563105729,0.12405649087164376,0.6186542473223484,0.20440679940091372,0.549249843942765,0.20610086412181503
