model,folds,test_rows_total,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,7,3372,0.6440853059848051,0.24847906839830206,0.6037582789226399,0.41471508698876264,0.48842254256339807,0.34515269857051273,0.44550343152991406,0.35392262891661563,0.6728107329314551,0.13108472950382044,0.6390168262451227,0.24421607746073062,0.5644812064867926,0.24516363948201145
xgboost,7,3372,0.6110092622715,0.228900950795207,0.527119974852495,0.4081918073415754,0.45397026507651544,0.34236253296594266,0.3961567379652606,0.33350809641180473,0.6278251598793467,0.11637671130899539,0.6083972751504912,0.2327009527222453,0.5265316848863494,0.2185285950260728
catboost,7,3372,0.6395550581213139,0.23367373555257284,0.5735056721818951,0.4233799133160321,0.4885614526480378,0.35063706918362464,0.43126114786764685,0.34972244206996866,0.6562796821153524,0.12224463540938088,0.633401610962965,0.2387961390722697,0.5551054467698832,0.23019435037390398
