model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,0.6176884973831375,0.0328136607792396,0.535767546945621,0.089796202182281,0.6333913444888716,0.1771194113753443,0.5650196495968259,0.0652575347218953,0.6259872232913063,0.0432828596976507,0.6296758607700687,0.0459732431006624,0.6102759037588504,0.0352472728502801
xgboost,0.6143072431568819,0.0340282848551842,0.5338913944907505,0.0850336143551458,0.6125240532102875,0.1638134613391335,0.5552861229052984,0.057226370112632,0.6194380671130225,0.0353050845511012,0.6239342008843213,0.0417012038265473,0.6061601739547512,0.0351258011062241
catboost,0.6219271071019775,0.0424375191511847,0.5367001269779538,0.0860375512580778,0.6089654001241159,0.1571809695830035,0.5596896594241411,0.0722568794555402,0.621499278398022,0.0487662400693153,0.6262623220829421,0.0528164102749748,0.6124018987362391,0.0448679184607651
