not_walking_weight,threshold,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
1.5,0.5,0.7605811749842072,0.6979710144927537,0.727932285368803,0.7329999028706646,0.2301153612629022,0.3020289855072464,1204,1268,379,521
1.0,0.6,0.762799740764744,0.6823188405797102,0.7203182374541004,0.7286861613047257,0.2222222222222222,0.3176811594202898,1177,1281,366,548
2.0,0.5,0.7671503957783641,0.6742028985507247,0.7176797284788645,0.7282375233887328,0.2143290831815422,0.3257971014492754,1163,1294,353,562
1.5,0.6,0.7745302713987474,0.6452173913043479,0.7039848197343453,0.7213391435355143,0.1967213114754098,0.3547826086956521,1113,1323,324,612
3.0,0.5,0.7813620071684588,0.6318840579710145,0.6987179487179487,0.7196680251316012,0.1851851851851851,0.3681159420289855,1090,1342,305,635
1.0,0.5,0.7232558139534884,0.721159420289855,0.7222060957910015,0.7160590951825574,0.289010321797207,0.2788405797101449,1244,1171,476,481
2.0,0.6,0.7856609410007468,0.6098550724637681,0.6866840731070496,0.7129072539448291,0.1742562234365513,0.3901449275362318,1052,1360,287,673
1.0,0.7,0.7742663656884876,0.5965217391304348,0.6738703339882122,0.7019758174006101,0.1821493624772313,0.4034782608695652,1029,1347,300,696
3.0,0.6,0.8045879354290569,0.5489855072463768,0.6526533425223984,0.6951449950508921,0.1396478445658773,0.4510144927536232,947,1417,230,778
1.0,0.72,0.7799684542586751,0.5733333333333334,0.6608753758770465,0.6951404338729408,0.1693989071038251,0.4266666666666667,989,1368,279,736
1.5,0.7,0.7965811965811965,0.5402898550724637,0.6438687392055268,0.6880034784622073,0.1445051608986035,0.4597101449275362,932,1409,238,793
1.5,0.72,0.8005489478499542,0.5072463768115942,0.6210078069552875,0.6744876018984283,0.1323618700667881,0.4927536231884058,875,1429,218,850
2.0,0.7,0.8040345821325648,0.4852173913043478,0.6052060737527115,0.6653481349155714,0.1238615664845173,0.5147826086956522,837,1443,204,888
2.0,0.72,0.8092243186582809,0.4475362318840579,0.576334453154162,0.6485608305131203,0.1105039465695203,0.552463768115942,772,1465,182,953
3.0,0.7,0.8467153284671532,0.4034782608695652,0.5465253239104829,0.6356643774663209,0.0765027322404371,0.5965217391304348,696,1521,126,1029
1.0,0.8,0.7887473460721869,0.4307246376811594,0.557180352455943,0.6337532863579691,0.1208257437765634,0.5692753623188406,743,1448,199,982
3.0,0.72,0.8475033738191633,0.3640579710144928,0.5093268450932684,0.6132421976751989,0.0686095931997571,0.6359420289855072,628,1534,113,1097
1.5,0.8,0.8052486187845304,0.3379710144927536,0.4761126990608411,0.5886966289250655,0.0856102003642987,0.6620289855072464,583,1506,141,1142
2.0,0.8,0.8372881355932204,0.2863768115942029,0.4267818574514039,0.5635828456369686,0.058287795992714,0.7136231884057971,494,1551,96,1231
3.0,0.8,0.8922305764411027,0.2063768115942029,0.3352165725047081,0.5147944334385013,0.0261080752884031,0.7936231884057972,356,1604,43,1369
