model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,0.7204176334106728,0.015081206496519705,0.627566494318577,0.013543525506885578,0.7723252827419493,0.030971495164366755,0.6923576376050833,0.018905364111272437,0.7208450707596681,0.016462600993576184,0.7285228731349132,0.01704341035638317,0.7180397365482626,0.015476601086316445
xgboost,0.7324052590873937,0.01820766800772399,0.6493451690250184,0.021687036522229856,0.7476447163947163,0.015772346498468728,0.6949849837263019,0.01824469111070722,0.7276894358028052,0.017363077173819897,0.7347844599330297,0.017520630325835625,0.7283024384268307,0.01796920859836283
catboost,0.734338747099768,0.01716780578532335,0.645235596361716,0.019255645297134433,0.7742084304584305,0.015338222551281793,0.7038295006051433,0.017130812300734596,0.7324944815878845,0.016191425639032097,0.7405608490242859,0.016685102078231484,0.7314799554450179,0.016996447296708364
