feature,importance
Left_Gx_p_001,0.09312062768942717
Right_Gx_p_001,0.07361567025456374
Left_Gx_p_002,0.07224539237691048
Right_Gx_p_002,0.06104610511287607
Left_Gx_p_000,0.05091544422989184
Right_Gx_p_003,0.04749706276591473
Right_Ay_p_001,0.04533905549508082
Right_Ax_p_001,0.04232697293161125
Left_Gx_p_003,0.03729001126840276
Right_Ay_p_002,0.034241143233957085
Right_Gx_p_000,0.03226439091601537
Right_Ay_p_003,0.025572947600644824
Right_Az_p_005,0.02527878865698375
Right_Ay_p_004,0.021285347722206572
Right_Ay_p_005,0.020736846482093185
Left_Gy_p_001,0.017421825937306335
Left_Gz_p_001,0.014505750785808843
Right_Ax_p_005,0.013847262460025449
Left_Ay_p_004,0.0135324192621799
Right_Az_p_004,0.012988380260964116
Right_Ax_p_000,0.01132912484558807
Left_Gx_p_005,0.01092118788971165
Left_Ay_p_005,0.010818560196577759
Left_Gz_p_000,0.010022105243578052
Right_Ax_p_002,0.009957255366237181
Right_Az_p_001,0.00975010965012365
Right_Ay_p_000,0.009581669374093263
Left_Gx_p_004,0.009274939671222658
Left_Gz_p_002,0.008036626403170556
Right_Gz_p_001,0.00767190079666667
Right_Gz_p_002,0.007387043467770615
Right_Ax_p_003,0.007373073359724137
Right_Gy_p_005,0.007078155912645544
Right_Ax_p_004,0.0070697564570380575
Right_Gy_p_002,0.00681445622886759
Left_Ay_p_003,0.00656774719378231
Right_Gy_p_001,0.005967940915720713
Left_Gz_p_003,0.00552331642039777
Right_Gx_p_005,0.005324426233147494
Right_Gz_p_000,0.005316449760812173
Left_Ay_p_002,0.004917689417578216
Right_Gx_p_004,0.004846231155558411
Left_Az_p_001,0.004410947236745804
Right_Gz_p_003,0.0042316477516723605
Left_Ax_p_001,0.0040520360122702805
Right_Gz_p_004,0.003961415196723282
Right_Gz_p_005,0.0037081786993817655
Left_Az_p_000,0.003671365067483618
Left_Ay_p_001,0.003663967617253222
Right_Gy_p_004,0.0035756110021727783
Left_Gz_p_004,0.0035304827590532223
Left_Az_p_002,0.0030606270985883673
Left_Gy_p_002,0.002944148055273625
Left_Ax_p_004,0.002931731119689855
Left_Az_p_005,0.002700449032445143
Left_Az_p_004,0.0025196650359482985
Left_Ax_p_005,0.0024965537201732343
Right_Gy_p_003,0.002300209462654427
Right_Az_p_003,0.0022630674484494452
Left_Gy_p_004,0.0020838585742044557
Left_Az_p_003,0.00199456369341299
Right_Az_p_002,0.001975623699432888
Right_Gy_p_000,0.0016039352971209955
Left_Ay_p_000,0.001486282259953445
Left_Gz_p_005,0.0013034502617998757
Left_Ax_p_000,0.0012777276635698221
Left_Ax_p_003,0.0012450782854824137
Left_Gy_p_003,0.0010564189124064951
Left_Gy_p_005,0.0009845461486722798
Right_Az_p_000,0.0009413713807131104
Left_Ax_p_002,0.0008446448336794125
Left_Gy_p_000,0.0005591852706962617
