transformer_threshold,rf_threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
0.5,0.65,1,424,0.6650943396226415,0.0,0.0,0.0,282,142,0,0
0.5,0.65,2,424,0.714622641509434,0.0,0.0,0.0,303,121,0,0
0.5,0.65,3,424,0.7665094339622641,0.0,0.0,0.0,325,99,0,0
0.5,0.65,4,424,0.7948113207547169,0.0,0.0,0.0,337,87,0,0
0.5,0.65,5,424,0.8136792452830188,0.0,0.0,0.0,345,79,0,0
0.5,0.65,8,424,0.9174528301886793,0.0,0.0,0.0,389,35,0,0
0.5,0.65,10,424,0.9386792452830188,0.0,0.0,0.0,398,26,0,0
0.5,0.7,1,424,0.8679245283018868,0.0,0.0,0.0,368,56,0,0
0.5,0.7,2,424,0.9198113207547169,0.0,0.0,0.0,390,34,0,0
0.5,0.7,3,424,0.9669811320754716,0.0,0.0,0.0,410,14,0,0
0.5,0.7,4,424,0.9811320754716981,0.0,0.0,0.0,416,8,0,0
0.5,0.7,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.7,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.7,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.75,1,424,0.9976415094339622,0.0,0.0,0.0,423,1,0,0
0.5,0.75,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.75,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.75,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.75,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.75,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.75,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.8,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.8,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.8,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.8,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.8,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.8,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.8,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.85,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.85,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.85,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.85,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.85,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.85,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.85,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.9,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.9,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.9,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.9,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.9,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.9,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.9,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.5,1,424,0.44339622641509435,0.0,0.0,0.0,188,236,0,0
0.6,0.5,2,424,0.4528301886792453,0.0,0.0,0.0,192,232,0,0
0.6,0.5,3,424,0.46226415094339623,0.0,0.0,0.0,196,228,0,0
0.6,0.5,4,424,0.4693396226415094,0.0,0.0,0.0,199,225,0,0
0.6,0.5,5,424,0.47877358490566035,0.0,0.0,0.0,203,221,0,0
0.6,0.5,8,424,0.5283018867924528,0.0,0.0,0.0,224,200,0,0
0.6,0.5,10,424,0.5471698113207547,0.0,0.0,0.0,232,192,0,0
0.6,0.6,1,424,0.5613207547169812,0.0,0.0,0.0,238,186,0,0
0.6,0.6,2,424,0.5966981132075472,0.0,0.0,0.0,253,171,0,0
0.6,0.6,3,424,0.6485849056603774,0.0,0.0,0.0,275,149,0,0
0.6,0.6,4,424,0.6556603773584906,0.0,0.0,0.0,278,146,0,0
0.6,0.6,5,424,0.7122641509433962,0.0,0.0,0.0,302,122,0,0
0.6,0.6,8,424,0.8160377358490566,0.0,0.0,0.0,346,78,0,0
0.6,0.6,10,424,0.8349056603773585,0.0,0.0,0.0,354,70,0,0
0.6,0.65,1,424,0.6698113207547169,0.0,0.0,0.0,284,140,0,0
