model,fold,train_rows,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,8106,4054,2276,1778,0.7530833744449926,0.7327741162372678,0.68785151856018,0.7096025529445895,0.7500348568607723,0.7459468489110215,0.7474208859981476
random_forest,2,8107,4053,2276,1777,0.7562299531211448,0.7156916347731,0.7366347777152504,0.726012201885746,0.7526299900484206,0.7540818879788906,0.7532283231650952
random_forest,3,8107,4053,2276,1777,0.7342709104367136,0.6916757940854327,0.7107484524479459,0.701082431307244,0.7304360110974986,0.7316923281571892,0.7309542736149811
xgboost,1,8106,4054,2276,1778,0.8024173655648742,0.7586024351508734,0.8059617547806525,0.7815653122443414,0.7996245432105407,0.8028051304658974,0.8006002647688719
xgboost,2,8107,4053,2276,1777,0.7957068837897854,0.7519915029208709,0.7968486212718064,0.7737704918032787,0.7928160279581313,0.7958320435005781,0.7937678369947567
xgboost,3,8107,4053,2276,1777,0.7915124599062423,0.7419522326064382,0.8041643218908272,0.7718066432622198,0.7891707566417241,0.7928993841440076,0.7899460197914552
catboost,1,8106,4054,2276,1778,0.8009373458312777,0.7597645799892991,0.7986501687289089,0.7787222374554428,0.7979600931983108,0.8006871230287778,0.7989105471070086
catboost,2,8107,4053,2276,1777,0.7999013076733283,0.759956942949408,0.7945976364659538,0.7768913342503438,0.7968349635020389,0.7993199078639084,0.7977500732982876
catboost,3,8107,4053,2276,1777,0.7944732297063903,0.743298969072165,0.8114800225098481,0.775894538606403,0.7923783061167735,0.796337550797982,0.7930509375647645
