not_walking_weight,threshold,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
1.0,0.5,0.7232558139534884,0.721159420289855,0.7222060957910015,0.7160590951825574,0.28901032179720704,0.2788405797101449,1244,1171,476,481
1.0,0.6,0.762799740764744,0.6823188405797102,0.7203182374541004,0.7286861613047257,0.2222222222222222,0.31768115942028985,1177,1281,366,548
1.0,0.7,0.7742663656884876,0.5965217391304348,0.6738703339882122,0.7019758174006101,0.18214936247723132,0.40347826086956523,1029,1347,300,696
1.0,0.72,0.7799684542586751,0.5733333333333334,0.6608753758770465,0.6951404338729408,0.16939890710382513,0.4266666666666667,989,1368,279,736
1.0,0.8,0.7887473460721869,0.43072463768115943,0.557180352455943,0.6337532863579691,0.12082574377656345,0.5692753623188406,743,1448,199,982
1.5,0.5,0.7605811749842072,0.6979710144927537,0.727932285368803,0.7329999028706646,0.23011536126290225,0.3020289855072464,1204,1268,379,521
1.5,0.6,0.7745302713987474,0.6452173913043479,0.7039848197343453,0.7213391435355143,0.19672131147540983,0.35478260869565215,1113,1323,324,612
1.5,0.7,0.7965811965811965,0.5402898550724637,0.6438687392055268,0.6880034784622073,0.14450516089860352,0.45971014492753626,932,1409,238,793
1.5,0.72,0.8005489478499542,0.5072463768115942,0.6210078069552875,0.6744876018984283,0.1323618700667881,0.4927536231884058,875,1429,218,850
1.5,0.8,0.8052486187845304,0.33797101449275363,0.47611269906084114,0.5886966289250655,0.08561020036429873,0.6620289855072464,583,1506,141,1142
2.0,0.5,0.7671503957783641,0.6742028985507247,0.7176797284788645,0.7282375233887328,0.2143290831815422,0.3257971014492754,1163,1294,353,562
2.0,0.6,0.7856609410007468,0.6098550724637681,0.6866840731070496,0.7129072539448291,0.1742562234365513,0.39014492753623187,1052,1360,287,673
2.0,0.7,0.8040345821325648,0.4852173913043478,0.6052060737527115,0.6653481349155714,0.12386156648451731,0.5147826086956522,837,1443,204,888
2.0,0.72,0.8092243186582809,0.44753623188405794,0.576334453154162,0.6485608305131203,0.11050394656952034,0.552463768115942,772,1465,182,953
2.0,0.8,0.8372881355932204,0.2863768115942029,0.4267818574514039,0.5635828456369686,0.058287795992714025,0.7136231884057971,494,1551,96,1231
3.0,0.5,0.7813620071684588,0.6318840579710145,0.6987179487179487,0.7196680251316012,0.18518518518518517,0.3681159420289855,1090,1342,305,635
3.0,0.6,0.8045879354290569,0.5489855072463768,0.6526533425223984,0.6951449950508921,0.13964784456587737,0.4510144927536232,947,1417,230,778
3.0,0.7,0.8467153284671532,0.40347826086956523,0.5465253239104829,0.6356643774663209,0.07650273224043716,0.5965217391304348,696,1521,126,1029
3.0,0.72,0.8475033738191633,0.3640579710144928,0.5093268450932684,0.6132421976751989,0.06860959319975714,0.6359420289855072,628,1534,113,1097
3.0,0.8,0.8922305764411027,0.2063768115942029,0.3352165725047081,0.5147944334385013,0.026108075288403157,0.7936231884057972,356,1604,43,1369
