model,fold,train_rows,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,8076,4038,2276,1762,0.7481426448736999,0.7197640117994101,0.6923950056753689,0.7058142898466879,0.7442183268557443,0.7418477664580712,0.7428183811216553
random_forest,2,8076,4038,2276,1762,0.7526002971768202,0.7181246426529445,0.7128263337116912,0.7154656792936486,0.7485337062107011,0.7481091246765837,0.7483133434803402
random_forest,3,8076,4038,2276,1762,0.7409608717186726,0.6958424507658644,0.7219069239500567,0.7086350974930362,0.7370614968761449,0.7388093494969967,0.7377326178503969
xgboost,1,8076,4038,2276,1762,0.7954432887568103,0.754071661237785,0.7883087400681045,0.7708102108768036,0.7921086903638834,0.7946376740762315,0.7930526904115682
xgboost,2,8076,4038,2276,1762,0.7961862308073303,0.7496012759170654,0.8002270147559591,0.7740872906944826,0.7932058303553802,0.7966425056205103,0.794217117036842
xgboost,3,8076,4038,2276,1762,0.799405646359584,0.7476586888657648,0.815550510783201,0.7801302931596091,0.7970335032230526,0.8012286824566268,0.7978520318257062
catboost,1,8076,4038,2276,1762,0.7961862308073303,0.7561374795417348,0.7866061293984109,0.7710709318497914,0.7928079687958107,0.7951044706746009,0.7937032856080022
catboost,2,8076,4038,2276,1762,0.7976721149083705,0.7552674230145867,0.793416572077185,0.7738721284251314,0.7944146900166669,0.7971915900807718,0.7954057034686715
catboost,3,8076,4038,2276,1762,0.799405646359584,0.7515856236786469,0.8070374574347332,0.7783251231527094,0.7965756636566581,0.8002674106154334,0.7975750446157034
