model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,0.7422315745554956,0.1109835424222244,0.6905930739635403,0.0278633188179818,0.7304933275342737,0.2215651125361651,0.7005947787281098,0.1225974713037154,0.7424003971201821,0.1043902571418538,0.7480647321551975,0.1165149995095538,0.7367792224372174,0.1114658513346254
xgboost,0.744534167727852,0.1144681026986954,0.6942517932061509,0.0370603624978354,0.7281123387727714,0.2014339507087374,0.7041197447511814,0.1201469245049774,0.7418909925335218,0.1064579614188032,0.7486538110983786,0.1176811469960467,0.7393742754885994,0.113958345378874
catboost,0.7487673761907115,0.1150553664154094,0.7025670581053617,0.0412744710859772,0.725065487718563,0.1975399600312194,0.7073356428148797,0.1193867328968542,0.7458628722552975,0.106759978872339,0.751423416144355,0.1172437700798656,0.7432047642768399,0.1141383566584714
