model,reference,dataset_source,rows,not_walking,walking,tn,fp,fn,tp,error_windows,error_rate,fp_rate,fn_rate,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,mean_prob_walking
catboost,AEMDHUG060-70,auto_influx_heuristic,547,408,139,398,10,8,131,18,0.03290676416819013,0.024509803921568627,0.05755395683453238,0.9670932358318098,0.9290780141843972,0.9424460431654677,0.9357142857142857,0.9568006318006318,0.30375926269195286
xgboost,LFP1994-120,auto_influx_heuristic,61,0,61,0,0,4,57,4,0.06557377049180328,0.0,0.06557377049180328,0.9344262295081968,1.0,0.9344262295081968,0.9661016949152542,0.4830508474576271,0.7958790630590721
random_forest,663495-44,previous_dataset,97,30,67,30,0,4,63,4,0.041237113402061855,0.0,0.05970149253731343,0.9587628865979382,1.0,0.9402985074626866,0.9692307692307692,0.9533653846153847,0.6059037621355858
xgboost,663495-44,previous_dataset,97,30,67,30,0,4,63,4,0.041237113402061855,0.0,0.05970149253731343,0.9587628865979382,1.0,0.9402985074626866,0.9692307692307692,0.9533653846153847,0.6623549111110648
catboost,663495-44,previous_dataset,97,30,67,30,0,4,63,4,0.041237113402061855,0.0,0.05970149253731343,0.9587628865979382,1.0,0.9402985074626866,0.9692307692307692,0.9533653846153847,0.6375387267025424
catboost,LFP1994-120,auto_influx_heuristic,61,0,61,0,0,3,58,3,0.04918032786885246,0.0,0.04918032786885246,0.9508196721311475,1.0,0.9508196721311475,0.9747899159663865,0.48739495798319327,0.7864099281313445
random_forest,05447093A-110,previous_dataset,46,0,46,0,0,2,44,2,0.043478260869565216,0.0,0.043478260869565216,0.9565217391304348,1.0,0.9565217391304348,0.9777777777777777,0.4888888888888889,0.7897812712950423
xgboost,05447093A-110,previous_dataset,46,0,46,0,0,2,44,2,0.043478260869565216,0.0,0.043478260869565216,0.9565217391304348,1.0,0.9565217391304348,0.9777777777777777,0.4888888888888889,0.8207879176606303
catboost,05447093A-110,previous_dataset,46,0,46,0,0,2,44,2,0.043478260869565216,0.0,0.043478260869565216,0.9565217391304348,1.0,0.9565217391304348,0.9777777777777777,0.4888888888888889,0.81493351813813
random_forest,LFP1994-120,auto_influx_heuristic,61,0,61,0,0,2,59,2,0.03278688524590164,0.0,0.03278688524590164,0.9672131147540983,1.0,0.9672131147540983,0.9833333333333333,0.49166666666666664,0.75991819222674
