threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.3,820,0.7780487804878049,0.017045454545454544,0.25,0.031914893617021274,0.7858910891089109,0.2141089108910891,635,173,9,3
0.35,820,0.7804878048780488,0.011627906976744186,0.16666666666666666,0.021739130434782608,0.7896039603960396,0.2103960396039604,638,170,10,2
0.4,820,0.7792682926829269,0.005847953216374269,0.08333333333333333,0.01092896174863388,0.7896039603960396,0.2103960396039604,638,170,11,1
0.45,820,0.7829268292682927,0.005952380952380952,0.08333333333333333,0.011111111111111112,0.7933168316831684,0.20668316831683167,641,167,11,1
0.5,820,0.7829268292682927,0.005952380952380952,0.08333333333333333,0.011111111111111112,0.7933168316831684,0.20668316831683167,641,167,11,1
0.55,820,0.7841463414634147,0.005988023952095809,0.08333333333333333,0.0111731843575419,0.7945544554455446,0.20544554455445543,642,166,11,1
0.6,820,0.7865853658536586,0.006060606060606061,0.08333333333333333,0.011299435028248588,0.7970297029702971,0.20297029702970298,644,164,11,1
0.65,820,0.7865853658536586,0.006060606060606061,0.08333333333333333,0.011299435028248588,0.7970297029702971,0.20297029702970298,644,164,11,1
0.7,820,0.7890243902439025,0.006134969325153374,0.08333333333333333,0.011428571428571429,0.7995049504950495,0.2004950495049505,646,162,11,1
0.75,820,0.7914634146341464,0.006211180124223602,0.08333333333333333,0.011560693641618497,0.801980198019802,0.19801980198019803,648,160,11,1
0.8,820,0.7963414634146342,0.006369426751592357,0.08333333333333333,0.011834319526627219,0.806930693069307,0.19306930693069307,652,156,11,1
0.85,820,0.8,0.006493506493506494,0.08333333333333333,0.012048192771084338,0.8106435643564357,0.18935643564356436,655,153,11,1
0.9,820,0.8048780487804879,0.006666666666666667,0.08333333333333333,0.012345679012345678,0.8155940594059405,0.1844059405940594,659,149,11,1
