model,fold,cv,train_rows,test_rows,train_groups,test_groups,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,grouped,15040,6384,11,8,4427,1957,0.705983709273183,0.5160513643659711,0.6571282575370465,0.578107439874129,0.6718232155848355,0.6923545059991535,0.6762396797880081
random_forest,2,grouped,15174,6250,10,9,4214,2036,0.6728,0.49848331648129424,0.7264243614931237,0.591245252848291,0.6644107109363523,0.6866578380792624,0.6592347379354166
random_forest,3,grouped,12634,8790,17,2,3708,5082,0.5887372013651877,0.6788588149231894,0.5478158205430933,0.6063377981051944,0.5943878207693363,0.5963189135077926,0.5879134506781778
xgboost,1,grouped,15040,6384,11,8,4427,1957,0.6716791979949874,0.47500898957209636,0.6750127746550844,0.5576192486281131,0.6492447112723096,0.6726091657327827,0.6482990390089507
xgboost,2,grouped,15174,6250,10,9,4214,2036,0.65856,0.4832191780821918,0.6930255402750491,0.569410815173527,0.647765745197252,0.6674667331180657,0.6432685040872936
xgboost,3,grouped,12634,8790,17,2,3708,5082,0.5908987485779295,0.685286783042394,0.5407319952774499,0.6044874615046194,0.5985011321069711,0.6001933978544747,0.5904152670388318
catboost,1,grouped,15040,6384,11,8,4427,1957,0.7045739348370927,0.5147364051473641,0.633622892181911,0.5680256527714155,0.667179523328399,0.6847807255126859,0.6717776442862076
catboost,2,grouped,15174,6250,10,9,4214,2036,0.6616,0.4854082009604728,0.6453831041257367,0.5540796963946869,0.6408130477001066,0.6574091600362904,0.6407113706931538
catboost,3,grouped,12634,8790,17,2,3708,5082,0.5881683731513083,0.6647138350608383,0.5804801259346714,0.6197478991596639,0.5874120645892427,0.5895928137763972,0.5853081927560106
