model,fold,cv,sample_weighting,train_rows,test_rows,train_groups,test_groups,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,balanced_grouped,patient_source,15313,5535,11,8,3240,2295,0.7906052393857272,0.7707340324118208,0.7045751633986929,0.7361711814249943,0.7867344878381478,0.7780591866376181,0.7812951159483815
random_forest,2,balanced_grouped,patient_source,14218,6630,12,7,4206,2424,0.7711915535444948,0.6248279658684283,0.9364686468646864,0.7495459798580155,0.7867216239085217,0.8062038907171745,0.7694696441008806
random_forest,3,balanced_grouped,patient_source,12165,8683,15,4,4505,4178,0.6163768282851549,0.6301875192130342,0.4906653901388224,0.5517426995020859,0.6191453249840493,0.6118143820838395,0.608231691975502
xgboost,1,balanced_grouped,patient_source,15313,5535,11,8,3240,2295,0.7951219512195122,0.7883755588673621,0.6915032679738562,0.7367688022284122,0.793676706179848,0.7800108932461873,0.7845334694371875
xgboost,2,balanced_grouped,patient_source,14218,6630,12,7,4206,2424,0.757315233785822,0.6119198022521285,0.9191419141914191,0.7347073371805442,0.7731730158801626,0.7915966346991332,0.7555399090350254
xgboost,3,balanced_grouped,patient_source,12165,8683,15,4,4505,4178,0.6147644823217782,0.6289873025704552,0.4861177596936333,0.5484001620089105,0.6176656351502807,0.6100955058179598,0.6062615329574625
catboost,1,balanced_grouped,patient_source,15313,5535,11,8,3240,2295,0.794579945799458,0.7838235294117647,0.6967320261437908,0.7377162629757785,0.7923409492552386,0.7803104575163399,0.7844483319333235
catboost,2,balanced_grouped,patient_source,14218,6630,12,7,4206,2424,0.7677224736048266,0.6238789237668162,0.9183168316831684,0.7429906542056075,0.7796076526084244,0.7996244167926065,0.7655514635915215
catboost,3,balanced_grouped,patient_source,12165,8683,15,4,4505,4178,0.6149948174594034,0.6248878253066108,0.5,0.555511235208084,0.6168446617169758,0.6108213096559378,0.6079740025710303
