threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.05,0.5262350414237497,0.5197472353870458,0.9856201318154584,0.6805957798924286,0.3818655859082095,0.9559748427672956,0.014379868184541641,1645,70,1520,24
0.06,0.5351334765265419,0.5245849297573435,0.9844218094667465,0.6844407415121849,0.4010439001678572,0.9364779874213837,0.015578190533253445,1643,101,1489,26
0.07,0.537895059834305,0.5261134251842359,0.9838226482923906,0.6855949895615866,0.4070336058919044,0.930188679245283,0.016177351707609346,1642,111,1479,27
0.08,0.5421908560908254,0.5285024154589372,0.9832234871180348,0.6874738165060745,0.4159846146750556,0.9207547169811321,0.016776512881965248,1641,126,1464,28
0.09,0.5572261429886468,0.5370006548788474,0.9826243259436789,0.6944738513656574,0.4452870649585947,0.889308176100629,0.01737567405632115,1640,176,1414,29
0.1,0.6017183185026082,0.563855421686747,0.981426003594967,0.7162221250546568,0.524263325901814,0.7968553459119497,0.018573996405032954,1638,323,1267,31
0.11,0.6265725682724762,0.5800850460666194,0.9808268424206111,0.7290135827209976,0.5643094553960193,0.7452830188679245,0.019173157579388856,1637,405,1185,32
0.12,0.6501994476833385,0.5966386554621849,0.9784301977231875,0.7412619155696777,0.6007445941484753,0.6943396226415094,0.02156980227681246,1633,486,1104,36
0.13,0.6661552623504142,0.6082743197912784,0.9778310365488316,0.75,0.6238457987072945,0.6610062893081761,0.022168963451168363,1632,539,1051,37
0.14,0.6775084381712182,0.6169568508705526,0.9766327142001199,0.7562050568313616,0.6399965021356626,0.6364779874213836,0.023367285799880167,1630,578,1012,39
0.15,0.6888616139920221,0.6258163657318478,0.9760335530257639,0.7626404494382022,0.6555855853602409,0.6125786163522012,0.02396644697423607,1629,616,974,40
0.16,0.6983737342743173,0.6337753510140406,0.9736369083283404,0.767776990314198,0.6687900268857643,0.590566037735849,0.026363091671659677,1625,651,939,44
0.17,0.7066584841976066,0.640742202921437,0.9724385859796285,0.7724892908138982,0.6798543172549629,0.5723270440251572,0.02756141402037148,1623,680,910,46
0.18,0.7155569193003989,0.6486378205128205,0.9700419412822049,0.7774309723889555,0.6917329107588637,0.5515723270440251,0.029958058717795086,1619,713,877,50
0.19,0.7253758821724455,0.6570616883116883,0.9700419412822049,0.7834502782482459,0.7040941118704542,0.5314465408805031,0.029958058717795086,1619,745,845,50
0.2,0.7324332617367291,0.6633866338663387,0.969442780107849,0.7877312560856865,0.7129527649723038,0.5163522012578616,0.03055721989215099,1618,769,821,51
0.21,0.7364222154034981,0.6673553719008265,0.9676452965847813,0.7899241868427488,0.718140356080905,0.5062893081761006,0.03235470341521869,1615,785,805,54
0.22,0.7419453820190243,0.6732217573221757,0.9640503295386459,0.7928061098792806,0.7253985815764845,0.4911949685534591,0.035949670461354104,1609,809,781,60
0.23,0.7453206505062903,0.6766315789473685,0.9628520071899341,0.794757665677547,0.7296342895889756,0.4830188679245283,0.03714799281006591,1607,822,768,62
0.24,0.7480822338140534,0.679813401187447,0.9604553624925105,0.796126148497641,0.7332698185282264,0.4748427672955975,0.039544637507489516,1603,835,755,66
0.25,0.7514575023013195,0.6839400428265524,0.956860395446375,0.7977022977022977,0.7377532968225092,0.4641509433962264,0.04313960455362492,1597,852,738,72
0.26,0.7548327707885855,0.6873385012919897,0.9562612342720191,0.7997995489852168,0.7418071745717536,0.45660377358490567,0.04373876572798083,1596,864,726,73
0.27,0.7575943540963486,0.6910039113428944,0.9526662672258838,0.801007556675063,0.7454802304568408,0.44716981132075473,0.04733373277411624,1590,879,711,79
0.28,0.7606627799938631,0.6957287538529282,0.9466746554823248,0.8020304568527918,0.7497351663627807,0.4345911949685535,0.053325344517675254,1580,899,691,89
0.29,0.7634243633016262,0.7004464285714286,0.9400838825644098,0.8027628549501151,0.7536236658805769,0.4220125786163522,0.05991611743559017,1569,919,671,100
0.3,0.7612764651733661,0.7011286681715576,0.9304973037747154,0.7996910401647785,0.7521613894825412,0.41635220125786165,0.0695026962252846,1553,928,662,116
0.31,0.7579011966861,0.7012808783165599,0.9185140802875974,0.7953307392996108,0.7495241755078603,0.4106918238993711,0.08148591971240264,1533,937,653,136
0.32,0.7566738263270942,0.7018433179723502,0.9125224685440384,0.7934357905704611,0.7487149090963541,0.4069182389937107,0.08747753145596165,1523,943,647,146
0.33,0.7572875115065971,0.7038068709377902,0.908328340323547,0.7930944284593251,0.7497939674764158,0.40125786163522015,0.09167165967645297,1516,952,638,153
0.34,0.7572875115065971,0.7055243445692884,0.9029358897543439,0.7921156373193167,0.7502782388586999,0.3955974842767296,0.09706411024565609,1507,961,629,162
0.35,0.7579011966861,0.7073515551366635,0.8993409227082085,0.7918754945924558,0.7512732808495832,0.3905660377358491,0.1006590772917915,1501,969,621,168
0.36,0.7606627799938631,0.7109634551495017,0.8975434391851408,0.7934322033898306,0.7544841542113266,0.38301886792452833,0.1024565608148592,1498,981,609,171
0.37,0.7625038355323719,0.7138079311992356,0.8951467944877172,0.7942583732057417,0.7567082867480087,0.3767295597484277,0.1048532055122828,1494,991,599,175
0.38,0.765265418840135,0.7183574879227053,0.8909526662672259,0.795399839529286,0.7600604811176477,0.36666666666666664,0.10904733373277412,1487,1007,583,182
0.39,0.7677201595581467,0.7213592233009709,0.89035350509287,0.7969965138106732,0.7627865322728518,0.3610062893081761,0.10964649490713002,1486,1016,574,183
0.4,0.7714022706351642,0.7262487757100882,0.8885560215698023,0.7992454863918081,0.766918788796189,0.35157232704402513,0.11144397843019772,1483,1031,559,186
0.41,0.7723227984044185,0.728437654016757,0.8855602156980228,0.7993510005408329,0.7681152165824732,0.34654088050314463,0.11443978430197724,1478,1039,551,191
0.42,0.7750843817121816,0.7328358208955223,0.8825644098262433,0.8007610763794509,0.7712857865166012,0.33773584905660375,0.11743559017375674,1473,1053,537,196
0.43,0.7760049094814361,0.7353383458646616,0.8789694427801078,0.800764192139738,0.7724914163221466,0.3320754716981132,0.12103055721989216,1467,1062,528,202
0.44,0.7763117520711875,0.7371342078708375,0.8753744757339724,0.8003286770747741,0.7730279590466301,0.32767295597484275,0.12462552426602756,1461,1069,521,208
0.45,0.7778459650199447,0.7419354838709677,0.8681845416417017,0.8001104362230812,0.7750552181115407,0.3169811320754717,0.1318154583582984,1449,1086,504,220
0.46,0.7787664927891992,0.7453416149068323,0.8627920910724985,0.7997778394890308,0.7763030438446182,0.30943396226415093,0.1372079089275015,1440,1098,492,229
0.47,0.7818349186867137,0.7507853403141361,0.8591971240263631,0.8013411567476949,0.7797110683364197,0.2993710691823899,0.14080287597363692,1434,1114,476,235
0.48,0.783982816814974,0.7554261514028586,0.8550029958058718,0.8021360314783587,0.7821490968202605,0.29056603773584905,0.14499700419412823,1427,1128,462,242
0.49,0.7836759742252225,0.7580299785867237,0.8484122228879568,0.8006785411365565,0.7820903608064533,0.2842767295597484,0.15158777711204313,1416,1138,452,253
0.5,0.7836759742252225,0.7619565217391304,0.8400239664469742,0.799088059276147,0.7823954753010844,0.27547169811320754,0.15997603355302575,1402,1152,438,267
0.51,0.7858238723534826,0.7677881963596249,0.8340323547034152,0.7995404939689833,0.7848163602914745,0.2647798742138365,0.16596764529658478,1392,1169,421,277
0.52,0.783982816814974,0.7682045580878266,0.8280407429598562,0.7970011534025375,0.7830907406356951,0.2622641509433962,0.1719592570401438,1382,1173,417,287
0.53,0.783369131635471,0.7721876766534765,0.8184541641701618,0.7946480511925538,0.7827136359858873,0.25345911949685535,0.18154583582983821,1366,1187,403,303
0.54,0.7858238723534826,0.7791834387579069,0.8118633912522468,0.79518779342723,0.7853752471959301,0.24150943396226415,0.18813660874775315,1355,1206,384,314
0.55,0.783982816814974,0.7823288472791106,0.8010784901138406,0.7915926583777383,0.7836944183608436,0.2339622641509434,0.19892150988615936,1337,1218,372,332
0.56,0.7836759742252225,0.786563614744352,0.792690233672858,0.7896150402864817,0.783503446887794,0.22578616352201258,0.20730976632714201,1323,1231,359,346
0.57,0.7870512427124885,0.79491833030853,0.7872977831036548,0.7910897049969897,0.786971635977844,0.21320754716981133,0.2127022168963451,1314,1251,339,355
0.58,0.790119668610003,0.8038247995064774,0.78070701018574,0.79209726443769,0.7901006768285104,0.2,0.21929298981426004,1303,1272,318,366
0.59,0.7898128260202516,0.8090452261306532,0.7717195925704015,0.7899417356639068,0.7898127468617354,0.19119496855345913,0.22828040742959857,1288,1286,304,381
0.6,0.7895059834305002,0.8132568514977693,0.7645296584781306,0.7881408276714021,0.7894972431039937,0.18427672955974841,0.23547034152186938,1276,1297,293,393
0.61,0.7891991408407487,0.8175937904269082,0.7573397243858598,0.7863141524105755,0.7891607092661415,0.17735849056603772,0.2426602756141402,1264,1308,282,405
0.62,0.7888922982509973,0.8207979071288424,0.7519472738166567,0.7848655409631019,0.7888183126502257,0.17232704402515722,0.24805272618334331,1255,1316,274,414
0.63,0.790119668610003,0.8250825082508251,0.7489514679448772,0.785175879396985,0.7900084555953131,0.16666666666666666,0.25104853205512284,1250,1325,265,419
0.64,0.7885854556612458,0.8271028037383178,0.7423606950269622,0.782443953268077,0.7884168438378583,0.16289308176100628,0.2576393049730378,1239,1331,259,430
0.65,0.7888922982509973,0.8307484828051247,0.738166566806471,0.7817258883248731,0.788664489022805,0.15786163522012578,0.2618334331935291,1232,1339,251,437
0.66,0.7898128260202516,0.8388429752066116,0.7297783103654883,0.7805190644024351,0.7894352755041318,0.1471698113207547,0.2702216896345117,1218,1356,234,451
0.67,0.790119668610003,0.8465869106263195,0.7207908927501497,0.7786407766990291,0.7895537605782194,0.1371069182389937,0.2792091072498502,1203,1372,218,466
0.68,0.7907333537895059,0.855803893294881,0.7112043139604554,0.7768324607329843,0.7899182523191206,0.12578616352201258,0.28879568603954464,1187,1390,200,482
0.69,0.7925744093280147,0.8653421633554084,0.7046135410425405,0.7767503302509907,0.7915270275896787,0.11509433962264151,0.2953864589574596,1176,1407,183,493
0.7,0.7956428352255293,0.8819497334348819,0.6938286399041342,0.7766599597585513,0.7941557717344793,0.09748427672955975,0.30617136009586576,1158,1435,155,511
0.71,0.7977907333537895,0.8963893249607535,0.6842420611144397,0.7760788311247027,0.7958715833945191,0.0830188679245283,0.3157579388855602,1142,1458,132,527
0.72,0.7953359926357778,0.9066558441558441,0.6692630317555422,0.77007928300586,0.7928361579530268,0.07232704402515723,0.33073696824445775,1117,1475,115,552
0.73,0.7895059834305002,0.9099249374478732,0.6536848412222888,0.7608089260808926,0.7864318603007203,0.06792452830188679,0.3463151587777112,1091,1482,108,578
0.74,0.7827554464559681,0.9096334185848253,0.6393049730377471,0.7508796622097115,0.7791395046630711,0.06666666666666667,0.36069502696225286,1067,1484,106,602
0.75,0.783369131635471,0.9205240174672489,0.6315158777711204,0.7491115849324804,0.779253416656305,0.057232704402515724,0.36848412222887955,1054,1499,91,615
0.76,0.7824486038662166,0.9247787610619469,0.6261234272019173,0.7466952483029653,0.7780263012152094,0.05345911949685535,0.3738765727980827,1045,1505,85,624
0.77,0.7827554464559681,0.9294012511170688,0.6231276213301378,0.7460545193687231,0.7781210934645224,0.04968553459119497,0.3768723786698622,1040,1511,79,629
0.78,0.7849033445842283,0.9416058394160584,0.6183343319352906,0.7464737793851718,0.7798449365884026,0.04025157232704402,0.3816656680647094,1032,1526,64,637
0.79,0.7861307149432342,0.9542056074766355,0.6117435590173756,0.7455275648046732,0.7805436183377692,0.030817610062893082,0.38825644098262435,1021,1541,49,648
0.8,0.7845965019944768,0.9591642924976258,0.6051527860994608,0.7421013960323292,0.7785849445915071,0.027044025157232705,0.39484721390053923,1010,1547,43,659
0.81,0.7803007057379564,0.9594985535197685,0.5961653684841223,0.7354028085735402,0.7737874483581237,0.026415094339622643,0.4038346315158778,995,1548,42,674
0.82,0.7787664927891992,0.9674556213017751,0.5877771120431396,0.731270965337309,0.771632875106725,0.020754716981132074,0.4122228879568604,981,1557,33,688
0.83,0.7741638539429273,0.970736629667003,0.5763930497303775,0.7233082706766917,0.7662679248665989,0.018238993710691823,0.42360695026962253,962,1561,29,707
0.84,0.7714022706351642,0.9733606557377049,0.5692031156381067,0.718336483931947,0.7629895691025601,0.016352201257861635,0.43079688436189334,950,1564,26,719
0.85,0.7677201595581467,0.974012474012474,0.5614140203714799,0.7122767008741924,0.758762482158218,0.015723270440251572,0.4385859796285201,937,1565,25,732
0.86,0.7634243633016262,0.975635593220339,0.5518274415817855,0.7049368541905855,0.7537488368264067,0.014465408805031447,0.4481725584182145,921,1567,23,748
0.87,0.7575943540963486,0.9771986970684039,0.5392450569203115,0.694980694980695,0.7469302660239524,0.013207547169811321,0.46075494307968845,900,1569,21,769
0.88,0.7542190856090826,0.9779735682819384,0.5320551228280408,0.689173457508731,0.7429627754430232,0.012578616352201259,0.46794487717195926,888,1570,20,781
0.89,0.7490027615833078,0.9829738933030647,0.5188735769922109,0.6792156862745098,0.7365332463630614,0.009433962264150943,0.4811264230077891,866,1575,15,803
0.9,0.7453206505062903,0.9929494712103408,0.5062911923307369,0.6706349206349206,0.7315155593669851,0.0037735849056603774,0.493708807669263,845,1584,6,824
0.91,0.7401043264805155,1.0,0.49251048532055125,0.6599759132878362,0.7248228213074394,0.0,0.5074895146794488,822,1590,0,847
0.92,0.733046946916232,1.0,0.4787297783103655,0.6474878444084279,0.7163365147968066,0.0,0.5212702216896345,799,1590,0,870
0.93,0.7269100951212029,1.0,0.46674655482324745,0.636437908496732,0.7088823449117567,0.0,0.5332534451767525,779,1590,0,890
0.94,0.7143295489413931,1.0,0.44218094667465546,0.6132114665558787,0.693372943202532,0.0,0.5578190533253445,738,1590,0,931
