representation,model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,f1_macro_mean,f1_macro_sd
bilateral,random_forest,0.7393658159319413,0.0116780115008055,0.6496775427819781,0.0205262952026891,0.7856493506493506,0.0327199924906,0.7106999824061667,0.0100905999433331,0.7366518036375659,0.0107710760360781
bilateral,xgboost,0.7617942768754835,0.011906267840944,0.6886239195086022,0.0105687358641839,0.7590476190476191,0.0480800783461492,0.7215671249689003,0.0221143165856825,0.7566107067446429,0.0138881281193665
bilateral,catboost,0.7579273008507347,0.0149167065135235,0.6847367086773866,0.0118052892921402,0.7534415584415584,0.059665069494587,0.7166065353452863,0.0265056000791896,0.7525170583548811,0.0169839566256038
unilateral,random_forest,0.7204176334106728,0.0150812064965197,0.627566494318577,0.0135435255068855,0.7723252827419493,0.0309714951643667,0.6923576376050833,0.0189053641112724,0.7180397365482626,0.0154766010863164
unilateral,xgboost,0.7324052590873937,0.0182076680077239,0.6493451690250184,0.0216870365222298,0.7476447163947163,0.0157723464984687,0.6949849837263019,0.0182446911107072,0.7283024384268307,0.0179692085983628
unilateral,catboost,0.734338747099768,0.0171678057853233,0.645235596361716,0.0192556452971344,0.7742084304584305,0.0153382225512817,0.7038295006051433,0.0171308123007345,0.7314799554450179,0.0169964472967083
