threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.4,1,1205,0.5825726141078839,0.4855072463768116,0.8392484342379958,0.6151491966335119,0.4132231404958678,0.5867768595041323,300,426,77,402
0.4,2,1205,0.6,0.49808429118773945,0.81419624217119,0.618066561014263,0.45867768595041325,0.5413223140495868,333,393,89,390
0.4,3,1205,0.616597510373444,0.511318242343542,0.8016701461377871,0.624390243902439,0.49449035812672176,0.5055096418732782,359,367,95,384
0.4,4,1205,0.6174273858921162,0.5122282608695652,0.7870563674321504,0.6205761316872428,0.5055096418732782,0.49449035812672176,367,359,102,377
0.4,5,1205,0.6240663900414938,0.5178571428571429,0.7870563674321504,0.6246893123446562,0.5165289256198347,0.4834710743801653,375,351,102,377
0.43,1,1205,0.6132780082987552,0.5083655083655083,0.824634655532359,0.6289808917197452,0.4738292011019284,0.5261707988980716,344,382,84,395
0.43,2,1205,0.6215767634854772,0.5154777927321669,0.7995824634655533,0.6268412438625205,0.5041322314049587,0.49586776859504134,366,360,96,383
0.43,3,1205,0.6282157676348548,0.5213204951856947,0.791231732776618,0.6285240464344942,0.5206611570247934,0.4793388429752066,378,348,100,379
0.43,4,1205,0.6257261410788382,0.5193370165745856,0.7849686847599165,0.6251039068994181,0.5206611570247934,0.4793388429752066,378,348,103,376
0.43,5,1205,0.629045643153527,0.5222222222222223,0.7849686847599165,0.6271893244370309,0.5261707988980716,0.4738292011019284,382,344,103,376
0.45,1,1205,0.6157676348547718,0.5106382978723404,0.8016701461377871,0.6238830219333875,0.4931129476584022,0.5068870523415978,358,368,95,384
0.45,2,1205,0.6199170124481328,0.5144429160935351,0.7807933194154488,0.6202321724709784,0.5137741046831956,0.48622589531680444,373,353,105,374
0.45,3,1205,0.6265560165975104,0.5202797202797202,0.7766179540709812,0.6231155778894473,0.5275482093663911,0.4724517906336088,383,343,107,372
0.45,4,1205,0.6265560165975104,0.5204513399153737,0.7703549060542797,0.6212121212121212,0.5316804407713499,0.46831955922865015,386,340,110,369
0.45,5,1205,0.6298755186721992,0.5234042553191489,0.7703549060542797,0.6233108108108109,0.5371900826446281,0.4628099173553719,390,336,110,369
0.5,1,1205,0.6132780082987552,0.5091164095371669,0.7578288100208769,0.6090604026845637,0.5179063360881543,0.4820936639118457,376,350,116,363
0.5,2,1205,0.6157676348547718,0.5115273775216138,0.7411273486430062,0.6052855924978687,0.5330578512396694,0.4669421487603306,387,339,124,355
0.5,3,1205,0.6224066390041494,0.5174927113702624,0.7411273486430062,0.6094420600858369,0.5440771349862259,0.4559228650137741,395,331,124,355
0.5,4,1205,0.624896265560166,0.5197657393850659,0.7411273486430062,0.6110154905335629,0.5482093663911846,0.45179063360881544,398,328,124,355
0.5,5,1205,0.624896265560166,0.52,0.732776617954071,0.608318890814558,0.5537190082644629,0.4462809917355372,402,324,128,351
0.55,1,1205,0.6033195020746888,0.5007874015748032,0.6638830897703549,0.5709156193895871,0.5633608815426997,0.4366391184573003,409,317,161,318
0.55,2,1205,0.6024896265560166,0.5,0.6388308977035491,0.5609532538955087,0.5785123966942148,0.4214876033057851,420,306,173,306
0.55,3,1205,0.6058091286307054,0.5033557046979866,0.6263048016701461,0.5581395348837209,0.5922865013774105,0.40771349862258954,430,296,179,300
0.55,4,1205,0.6033195020746888,0.5008605851979346,0.6075156576200418,0.5490566037735849,0.6005509641873278,0.39944903581267216,436,290,188,291
0.55,5,1205,0.6033195020746888,0.5008726003490401,0.5991649269311065,0.5456273764258555,0.6060606060606061,0.3939393939393939,440,286,192,287
