model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,0.8988730723606168,0.010614193456805051,0.8919821870326207,0.015077690484754498,0.9130434782608696,0.006024524548065677,0.9023580117859447,0.009628117952640475,0.8992769821456946,0.010269932738297674,0.8985375254085163,0.010765907982687228,0.8987396045302766,0.010679365014531659
xgboost,0.9335705812574141,0.0005136568231224573,0.946048055477136,0.008834619990613093,0.9228985507246376,0.010040874246776106,0.9342664022968359,0.000998535194184335,0.9337088124960403,0.00046003026623285477,0.9338232887199388,0.0004560672717915316,0.9335585768813143,0.0005095158614823132
catboost,0.9332740213523132,0.000889679715302516,0.9438248343124442,0.005112949810912044,0.9246376811594202,0.005590522180285794,0.9341128304229942,0.000950142988378922,0.9332859094565231,0.0009006080474728041,0.9334785248541486,0.0008997101174746899,0.9332617475648525,0.0008899474685316712
