model,fold,train_rows,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,4496,2248,1098,1150,0.8705516014234875,0.8838248436103664,0.86,0.871749669457911,0.8706103846041203,0.8708014571948999,0.8705403039700871
random_forest,2,4496,2248,1098,1150,0.8781138790035588,0.88898756660746,0.8704347826086957,0.8796133567662566,0.8780944963162077,0.878295715530213,0.8780949666714166
random_forest,3,4496,2248,1098,1150,0.8776690391459074,0.9154795821462488,0.8382608695652174,0.8751702224239674,0.8799155232906977,0.8786022016314248,0.8776200000039592
xgboost,1,4496,2248,1098,1150,0.9070284697508897,0.9145374449339208,0.9026086956521739,0.9085339168490153,0.9069542570581554,0.9071331274253585,0.9070032768324678
xgboost,2,4496,2248,1098,1150,0.9083629893238434,0.9140350877192982,0.9060869565217391,0.9100436681222708,0.9082810817657863,0.9084168844539479,0.9083309909061037
xgboost,3,4496,2248,1098,1150,0.9070284697508897,0.9328426862925483,0.8817391304347826,0.9065713008493518,0.9078511450411924,0.9076273065652966,0.9070262436075002
catboost,1,4496,2248,1098,1150,0.9070284697508897,0.913081650570676,0.9043478260869565,0.9086937527304499,0.9069465962501713,0.9070919458303635,0.9069975333656781
catboost,2,4496,2248,1098,1150,0.9163701067615658,0.9249116607773852,0.9104347826086957,0.9176161262050833,0.9163088769836747,0.9165106517779362,0.9163509718649625
catboost,3,4496,2248,1098,1150,0.9123665480427047,0.9343664539653601,0.8913043478260869,0.9123275478415666,0.9128826188158685,0.9128652886671418,0.9123665307015747
