feature,importance
Right_Gz_p_003,0.05698694243633909
Right_Gz_p_002,0.05012240953579344
Right_Ax_p_001,0.048384703869370084
Right_Ax_p_003,0.04696452336031729
Right_Gz_p_001,0.04626070257668031
Right_Ax_p_002,0.04441817392475444
Right_Gz_p_000,0.04224307175122344
Right_Ax_p_005,0.03258821594105876
Right_Ax_p_000,0.028258865749276676
Left_Gx_p_003,0.022985193727157537
Left_Gy_p_001,0.020819347306823614
Left_Ay_p_004,0.019433024186776005
Right_Gy_p_001,0.01854369153685982
Left_Gy_p_005,0.016867987638829397
Right_Ay_p_005,0.016611617834046716
Right_Az_p_004,0.016330226203953784
Right_Gz_p_004,0.01588170031792968
Right_Gy_p_000,0.015192919044317922
Left_Gy_p_004,0.015140801744724456
Right_Ax_p_004,0.014397996794983613
Right_Ay_p_003,0.014267754397911588
Left_Ax_p_001,0.014086897458356642
Left_Gz_p_001,0.013871896953996507
Right_Ay_p_004,0.013670522443521002
Left_Ay_p_003,0.012802730946013254
Left_Ay_p_001,0.012401180371030383
Left_Gx_p_004,0.011260412783944457
Right_Gy_p_005,0.011043594488714318
Right_Gx_p_001,0.010897945557277614
Left_Gy_p_003,0.010566561883799178
Right_Az_p_003,0.0105534822637631
Left_Ax_p_003,0.010440979905656355
Right_Az_p_005,0.01031342446052552
Left_Gz_p_002,0.010238223403052003
Right_Ay_p_001,0.010187211336819674
Right_Gz_p_005,0.010028182195585914
Left_Ay_p_005,0.009722705264739773
Left_Az_p_004,0.00962937024978937
Left_Gz_p_004,0.009114259597345208
Left_Ay_p_002,0.00905176856960204
Right_Gy_p_004,0.008792304641292764
Left_Gx_p_002,0.008721297924614808
Left_Gx_p_005,0.008707074226422175
Left_Az_p_003,0.00782990710643789
Left_Gz_p_005,0.007816036901558911
Left_Gz_p_003,0.007622178590825515
Left_Ax_p_005,0.007614090498923226
Right_Gx_p_002,0.007568015989359154
Left_Ax_p_000,0.006813573569968804
Right_Az_p_001,0.006641622359239124
Left_Gx_p_001,0.006635480259268876
Left_Ay_p_000,0.006484191852387946
Right_Gx_p_005,0.006315525286570375
Right_Ay_p_002,0.006191291178406134
Left_Ax_p_002,0.006162756514222715
Left_Az_p_002,0.005711728641781729
Left_Ax_p_004,0.005702613176826921
Right_Gx_p_000,0.005684008489444626
Left_Gy_p_002,0.005454753475346041
Left_Gz_p_000,0.005227322907183036
Right_Az_p_000,0.005106489739185606
Right_Gy_p_003,0.005094354546278018
Left_Az_p_005,0.00469372576161562
Right_Gx_p_003,0.004349384525941914
Right_Ay_p_000,0.004233063009208931
Right_Gy_p_002,0.0040613239785170785
Right_Gx_p_004,0.004029860964944572
Left_Az_p_001,0.00397743960342465
Left_Az_p_000,0.0038888936587150994
Right_Az_p_002,0.0038751169413820384
Left_Gy_p_000,0.0034315941519704844
Left_Gx_p_000,0.002981759516075226
