scope,threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
same_patient,0.01,388,0.030927835051546393,0.030927835051546393,1.0,0.06,0,376,0,12
same_patient,0.02,388,0.03865979381443299,0.03116883116883117,1.0,0.060453400503778336,3,373,0,12
same_patient,0.03,388,0.04639175257731959,0.031413612565445025,1.0,0.06091370558375635,6,370,0,12
same_patient,0.04,388,0.059278350515463915,0.03183023872679045,1.0,0.061696658097686374,11,365,0,12
same_patient,0.05,388,0.07731958762886598,0.032432432432432434,1.0,0.06282722513089005,18,358,0,12
same_patient,0.06,388,0.09020618556701031,0.03287671232876712,1.0,0.0636604774535809,23,353,0,12
same_patient,0.07,388,0.1056701030927835,0.033426183844011144,1.0,0.0646900269541779,29,347,0,12
same_patient,0.08,388,0.12371134020618557,0.03409090909090909,1.0,0.06593406593406594,36,340,0,12
same_patient,0.09,388,0.14432989690721648,0.03488372093023256,1.0,0.06741573033707865,44,332,0,12
same_patient,0.1,388,0.15979381443298968,0.03550295857988166,1.0,0.06857142857142857,50,326,0,12
same_patient,0.11,388,0.17783505154639176,0.03625377643504532,1.0,0.06997084548104957,57,319,0,12
same_patient,0.12,388,0.1958762886597938,0.037037037037037035,1.0,0.07142857142857142,64,312,0,12
same_patient,0.13,388,0.20103092783505155,0.037267080745341616,1.0,0.0718562874251497,66,310,0,12
same_patient,0.14,388,0.20876288659793815,0.03761755485893417,1.0,0.07250755287009064,69,307,0,12
same_patient,0.15,388,0.22164948453608246,0.03821656050955414,1.0,0.0736196319018405,74,302,0,12
same_patient,0.16,388,0.23195876288659795,0.03870967741935484,1.0,0.07453416149068323,78,298,0,12
same_patient,0.17,388,0.24484536082474226,0.03934426229508197,1.0,0.07570977917981073,83,293,0,12
same_patient,0.18,388,0.2603092783505155,0.04013377926421405,1.0,0.07717041800643087,89,287,0,12
same_patient,0.19,388,0.27319587628865977,0.04081632653061224,1.0,0.0784313725490196,94,282,0,12
same_patient,0.2,388,0.2860824742268041,0.04152249134948097,1.0,0.07973421926910298,99,277,0,12
same_patient,0.21,388,0.30927835051546393,0.04285714285714286,1.0,0.0821917808219178,108,268,0,12
same_patient,0.22,388,0.32216494845360827,0.04363636363636364,1.0,0.08362369337979095,113,263,0,12
same_patient,0.23,388,0.3324742268041237,0.04428044280442804,1.0,0.08480565371024736,117,259,0,12
same_patient,0.24,388,0.34536082474226804,0.045112781954887216,1.0,0.08633093525179857,122,254,0,12
same_patient,0.25,388,0.3634020618556701,0.04633204633204633,1.0,0.08856088560885608,129,247,0,12
same_patient,0.26,388,0.3943298969072165,0.048582995951417005,1.0,0.09266409266409266,141,235,0,12
same_patient,0.27,388,0.4175257731958763,0.05042016806722689,1.0,0.096,150,226,0,12
