scope,threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
same_patient,0.1,1,388,0.15979381443298968,0.03550295857988166,1.0,0.06857142857142857,50,326,0,12
same_patient,0.1,2,388,0.17783505154639176,0.03625377643504532,1.0,0.06997084548104957,57,319,0,12
same_patient,0.1,3,388,0.20876288659793815,0.03761755485893417,1.0,0.07250755287009064,69,307,0,12
same_patient,0.1,4,388,0.23195876288659795,0.03870967741935484,1.0,0.07453416149068323,78,298,0,12
same_patient,0.1,5,388,0.27319587628865977,0.04081632653061224,1.0,0.0784313725490196,94,282,0,12
same_patient,0.1,6,388,0.3118556701030928,0.043010752688172046,1.0,0.08247422680412371,109,267,0,12
same_patient,0.1,7,388,0.3118556701030928,0.043010752688172046,1.0,0.08247422680412371,109,267,0,12
same_patient,0.1,8,388,0.32989690721649484,0.04411764705882353,1.0,0.08450704225352113,116,260,0,12
same_patient,0.15,1,388,0.22164948453608246,0.03821656050955414,1.0,0.0736196319018405,74,302,0,12
same_patient,0.15,2,388,0.2551546391752577,0.03986710963455149,1.0,0.07667731629392971,87,289,0,12
same_patient,0.15,3,388,0.3015463917525773,0.04240282685512368,1.0,0.08135593220338982,105,271,0,12
same_patient,0.15,4,388,0.3479381443298969,0.045283018867924525,1.0,0.08664259927797834,123,253,0,12
same_patient,0.15,5,388,0.4097938144329897,0.04979253112033195,1.0,0.09486166007905138,147,229,0,12
same_patient,0.15,6,388,0.4484536082474227,0.05309734513274336,1.0,0.10084033613445378,162,214,0,12
same_patient,0.15,7,388,0.4484536082474227,0.05309734513274336,1.0,0.10084033613445378,162,214,0,12
same_patient,0.15,8,388,0.4484536082474227,0.05309734513274336,1.0,0.10084033613445378,162,214,0,12
same_patient,0.2,1,388,0.2860824742268041,0.04152249134948097,1.0,0.07973421926910298,99,277,0,12
same_patient,0.2,2,388,0.327319587628866,0.04395604395604396,1.0,0.08421052631578947,115,261,0,12
same_patient,0.2,3,388,0.38917525773195877,0.04819277108433735,1.0,0.09195402298850575,139,237,0,12
same_patient,0.2,4,388,0.43556701030927836,0.05194805194805195,1.0,0.09876543209876543,157,219,0,12
same_patient,0.2,5,388,0.47680412371134023,0.05581395348837209,1.0,0.10572687224669604,173,203,0,12
same_patient,0.2,6,388,0.47680412371134023,0.05581395348837209,1.0,0.10572687224669604,173,203,0,12
same_patient,0.2,7,388,0.49226804123711343,0.05741626794258373,1.0,0.1085972850678733,179,197,0,12
same_patient,0.2,8,388,0.49226804123711343,0.05741626794258373,1.0,0.1085972850678733,179,197,0,12
same_patient,0.25,1,388,0.3634020618556701,0.04633204633204633,1.0,0.08856088560885608,129,247,0,12
same_patient,0.25,2,388,0.4175257731958763,0.05042016806722689,1.0,0.096,150,226,0,12
same_patient,0.25,3,388,0.4690721649484536,0.05504587155963303,1.0,0.10434782608695652,170,206,0,12
same_patient,0.25,4,388,0.49226804123711343,0.05741626794258373,1.0,0.1085972850678733,179,197,0,12
same_patient,0.25,5,388,0.5335051546391752,0.06217616580310881,1.0,0.11707317073170732,195,181,0,12
same_patient,0.25,6,388,0.5463917525773195,0.06382978723404255,1.0,0.12,200,176,0,12
same_patient,0.25,7,388,0.5463917525773195,0.06382978723404255,1.0,0.12,200,176,0,12
same_patient,0.25,8,388,0.5463917525773195,0.06382978723404255,1.0,0.12,200,176,0,12
same_patient,0.3,1,388,0.46649484536082475,0.0547945205479452,1.0,0.1038961038961039,169,207,0,12
same_patient,0.3,2,388,0.520618556701031,0.06060606060606061,1.0,0.11428571428571428,190,186,0,12
same_patient,0.3,3,388,0.5567010309278351,0.06521739130434782,1.0,0.12244897959183673,204,172,0,12
same_patient,0.3,4,388,0.5876288659793815,0.06976744186046512,1.0,0.13043478260869565,216,160,0,12
same_patient,0.3,5,388,0.6082474226804123,0.07317073170731707,1.0,0.13636363636363635,224,152,0,12
same_patient,0.3,6,388,0.6211340206185567,0.07547169811320754,1.0,0.14035087719298245,229,147,0,12
same_patient,0.3,7,388,0.6675257731958762,0.0851063829787234,1.0,0.1568627450980392,247,129,0,12
same_patient,0.3,8,388,0.6855670103092784,0.08955223880597014,1.0,0.1643835616438356,254,122,0,12
same_patient,0.35,1,388,0.538659793814433,0.0582010582010582,0.9166666666666666,0.10945273631840796,198,178,1,11
same_patient,0.35,2,388,0.5902061855670103,0.0650887573964497,0.9166666666666666,0.12154696132596685,218,158,1,11
same_patient,0.35,3,388,0.6211340206185567,0.07006369426751592,0.9166666666666666,0.1301775147928994,230,146,1,11
same_patient,0.35,4,388,0.6675257731958762,0.07913669064748201,0.9166666666666666,0.1456953642384106,248,128,1,11
same_patient,0.35,5,388,0.6984536082474226,0.08661417322834646,0.9166666666666666,0.15827338129496402,260,116,1,11
same_patient,0.35,6,388,0.711340206185567,0.05357142857142857,0.5,0.0967741935483871,270,106,6,6
same_patient,0.35,7,388,0.7577319587628866,0.0,0.0,0.0,294,82,12,0
