model,accuracy_mean,accuracy_sd,precision_walking_mean,precision_walking_sd,recall_walking_mean,recall_walking_sd,f1_walking_mean,f1_walking_sd,precision_macro_mean,precision_macro_sd,recall_macro_mean,recall_macro_sd,f1_macro_mean,f1_macro_sd
random_forest,0.7393658159319413,0.011678011500805502,0.6496775427819781,0.02052629520268917,0.7856493506493506,0.032719992490600015,0.7106999824061667,0.010090599943333126,0.7388820658100137,0.00998063868577273,0.7466288011416689,0.009788046774823925,0.7366518036375659,0.010771076036078193
xgboost,0.7617942768754835,0.011906267840944063,0.6886239195086022,0.010568735864183968,0.7590476190476191,0.048080078346149274,0.7215671249689003,0.022114316585682522,0.7555725992758102,0.013518572718619087,0.761389107726424,0.016846089179733757,0.7566107067446429,0.013888128119366513
catboost,0.7579273008507347,0.014916706513523543,0.6847367086773866,0.011805289292140291,0.7534415584415584,0.05966506949458701,0.7166065353452863,0.02650560007918966,0.7518954974600162,0.01745927632079856,0.7572788878809099,0.02113617934629316,0.7525170583548811,0.01698395662560383
